a_ref,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype,a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene,a_ref,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
1,1,5,2,3,3," "," ",8," "," "," ",2021,1,ARBC,3,1,1,FRI,1,1,4,43,312823,346346,13,30," "," "," "," "," "," "," "," "," "," ",1,8,1,5,4," "," "," "," "," ",2,3,9,2," "
2,1,1,1,5,2,1,1,8,1," ",8,2021,2,CCGL,2,1,1,FRI,1,1,7,23,269131,413099,13,60,1,1,1,1,6,2,2,1,1,1,2,8,1,19,3,1,2,1,9,5,2,1,5,1,1
3,1,3,2,6,3," "," ",8," "," ",8,2021,3,ARND,3,1,1,FRI,1,1,9,40,342808,379149,13,60," "," "," "," "," "," "," "," "," "," ",3,8,1,18,4," "," "," "," "," ",4,2,8,1," "
4,1,1,2,6,3," "," ",8," "," ",8,2021,4,FERO,3,2,1,FRI,1,1,10,0,224357,356799,13,60," "," "," "," "," "," "," "," "," "," ",4,8,1,17,3," "," "," "," "," ",2,1,4,1," "
4,1,1,2,6,3," "," ",8," "," ",8,2021,4,FERO,3,2,1,FRI,1,1,10,0,224357,356799,13,60," "," "," "," "," "," "," "," "," "," ",4,8,1,17,3," "," "," "," "," ",3,2,6,1," "
5,1,1,1,4,3," "," ",8," "," ",8,2021,5,ARBC,3,2,2,FRI,1,1,10,15,306596,359457,13,40," "," "," "," "," "," "," "," "," "," ",5,24,2,16,3," "," "," "," "," ",2,1,5,1," "
5,1,1,1,4,3," "," ",8," "," ",8,2021,5,ARBC,3,2,2,FRI,1,1,10,15,306596,359457,13,40," "," "," "," "," "," "," "," "," "," ",5,8,1,17,3," "," "," "," "," ",2,1,4,1," "
5,2,4,2,1,3," "," ",8," "," ",8,2021,5,ARBC,3,2,2,FRI,1,1,10,15,306596,359457,13,40," "," "," "," "," "," "," "," "," "," ",5,24,2,16,3," "," "," "," "," ",2,1,5,1," "
5,2,4,2,1,3," "," ",8," "," ",8,2021,5,ARBC,3,2,2,FRI,1,1,10,15,306596,359457,13,40," "," "," "," "," "," "," "," "," "," ",5,8,1,17,3," "," "," "," "," ",2,1,4,1," "
6,1,1,1,4,3," "," ",8," "," ",8,2021,6,ANTN,3,1,1,FRI,1,1,11,6,325595,378733,13,50," "," "," "," "," "," "," "," "," "," ",6,8,1,16,3," "," "," "," "," ",5,1,4,1," "
7,1,6,1,8,3," "," ",8," "," ",4,2021,7,LISC,3,1,1,FRI,1,1,12,30,327835,367248,13,30," "," "," "," "," "," "," "," "," "," ",7,23,1,16,4," "," "," "," "," ",4,1,8,1," "
8,1,7,2,3,3," "," ",8," "," ",1,2021,8,MEAN,3,2,1,FRI,1,1,12,30,344777,392182,13,60," "," "," "," "," "," "," "," "," "," ",8,1,1,18,4," "," "," "," "," ",2,2,3,1," "
8,1,7,2,3,3," "," ",8," "," ",1,2021,8,MEAN,3,2,1,FRI,1,1,12,30,344777,392182,13,60," "," "," "," "," "," "," "," "," "," ",8,8,1,18,4," "," "," "," "," ",4,2,7,1," "
9,1,5,2,5,3," "," ",8," "," "," ",2021,9,NEMD,3,1,1,FRI,1,1,15,0,306652,328918,13,60," "," "," "," "," "," "," "," "," "," ",9,15,1,18,3," "," "," "," "," ",2,1,5,1," "
10,1,1,1,8,3," "," ",8," "," ",8,2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60," "," "," "," "," "," "," "," "," "," ",10,8,1,18,3," "," "," "," "," ",4,1,8,1," "
