a_ref,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype,a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene,a_ref,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
10,1,1,1,8,3," "," ",8," "," ",8,2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60," "," "," "," "," "," "," "," "," "," ",10,25,1,18,3," "," "," "," "," ",4,1,7,1," "
10,2,3,2,5,3," "," ",8," "," ",8,2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60," "," "," "," "," "," "," "," "," "," ",10,8,1,18,3," "," "," "," "," ",4,1,8,1," "
10,2,3,2,5,3," "," ",8," "," ",8,2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60," "," "," "," "," "," "," "," "," "," ",10,25,1,18,3," "," "," "," "," ",4,1,7,1," "
10,3,4,1,4,3," "," ",8," "," ",8,2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60," "," "," "," "," "," "," "," "," "," ",10,8,1,18,3," "," "," "," "," ",4,1,8,1," "
10,3,4,1,4,3," "," ",8," "," ",8,2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60," "," "," "," "," "," "," "," "," "," ",10,25,1,18,3," "," "," "," "," ",4,1,7,1," "
11,1,3,2,4,3," "," ",8," "," ",8,2021,11,NEMD,3,1,1,SAT,2,1,5,16,349243,348124,13,60," "," "," "," "," "," "," "," "," "," ",11,8,1,16,3," "," "," "," "," ",2,2,5,1," "
12,1,3,2,4,3," "," ",8," "," ",8,2021,12,MEAN,3,1,1,SAT,2,1,7,3,340371,402471,1,30," "," "," "," "," "," "," "," "," "," ",12,8,1,18,3," "," "," "," "," ",2,1,5,1," "
13,1,1,2,3,3," "," ",8," "," ",8,2021,13,ANTN,3,1,1,SAT,2,1,8,0,315294,387357,13,30," "," "," "," "," "," "," "," "," "," ",13,8,1,18,3," "," "," "," "," ",2,2,3,1," "
14,1,3,2,5,2,1,1,8,1," ",8,2021,14,ANTN,2,1,1,SAT,2,1,10,20,315766,387949,13,30,1,1,1,1,1,9,4,1,1,1,14,8,1,7,3,1,2,1,1,1,2,1,6,1,1
15,1,7,1,6,2,1,1,8,1,2,1,2021,15,BELC,2,2,1,SAT,2,1,7,45,334397,373905,13,30,8,3,1,1,4,1,2,1,1,2,15,8,1,9,3,3,1,1,1,1,3,1,4,1,1
15,1,7,1,6,2,1,1,8,1,2,1,2021,15,BELC,2,2,1,SAT,2,1,7,45,334397,373905,13,30,8,3,1,1,4,1,2,1,1,2,15,1,1,18,3,3,6,1,1,1,2,1,6,1,1
16,1,3,2,7,3," "," ",8," "," ",8,2021,16,BELC,3,2,1,SAT,2,1,14,45,333168,377757,13,30," "," "," "," "," "," "," "," "," "," ",16,8,1,9,3," "," "," "," "," ",4,2,6,1," "
16,1,3,2,7,3," "," ",8," "," ",8,2021,16,BELC,3,2,1,SAT,2,1,14,45,333168,377757,13,30," "," "," "," "," "," "," "," "," "," ",16,8,1,18,3," "," "," "," "," ",2,1,3,1," "
17,1,5,2,7,3," "," ",8," "," "," ",2021,17,NEMD,3,1,1,SAT,2,1,15,50,348516,344419,13,30," "," "," "," "," "," "," "," "," "," ",17,8,1,1,3," "," "," "," "," ",3,2,3,1," "
18,1,5,1,2,3," "," ",8," "," "," ",2021,18,ARND,3,1,1,FRI,1,1,15,35,363516,351199,13,60," "," "," "," "," "," "," "," "," "," ",18,8,1,18,3," "," "," "," "," ",5,2,8,1," "
19,1,6,1,3,2,1,1,8,1," ",4,2021,19,NEMD,2,1,1,SAT,2,1,19,30,319127,315889,13,60,1,1,1,1,6,9,4,1,1,1,19,23,1,16,3,1,1,1,1,1,5,1,3,1,1
20,1,3,2,3,3," "," ",8," "," ",8,2021,20,FERO,3,1,1,SUN,3,1,9,15,242870,378910,13,60," "," "," "," "," "," "," "," "," "," ",20,8,1,17,3," "," "," "," "," ",2,2,4,1," "
21,1,3,2,5,3," "," ",8," "," ",8,2021,21,BELC,3,2,2,SUN,3,1,12,50,338687,373648,13,30," "," "," "," "," "," "," "," "," "," ",21,8,1,5,3," "," "," "," "," ",4,2,5,1," "
21,1,3,2,5,3," "," ",8," "," ",8,2021,21,BELC,3,2,2,SUN,3,1,12,50,338687,373648,13,30," "," "," "," "," "," "," "," "," "," ",21,8,1,18,3," "," "," "," "," ",2,1,6,1," "
21,2,1,2,5,3," "," ",8," "," ",8,2021,21,BELC,3,2,2,SUN,3,1,12,50,338687,373648,13,30," "," "," "," "," "," "," "," "," "," ",21,8,1,5,3," "," "," "," "," ",4,2,5,1," "
21,2,1,2,5,3," "," ",8," "," ",8,2021,21,BELC,3,2,2,SUN,3,1,12,50,338687,373648,13,30," "," "," "," "," "," "," "," "," "," ",21,8,1,18,3," "," "," "," "," ",2,1,6,1," "
22,1,4,1,1,3," "," ",8," "," ",8,2021,22,ARBC,3,2,2,SUN,3,1,13,5,299479,355275,13,40," "," "," "," "," "," "," "," "," "," ",22,15,1,7,3," "," "," "," "," ",2,1,4,1," "
22,1,4,1,1,3," "," ",8," "," ",8,2021,22,ARBC,3,2,2,SUN,3,1,13,5,299479,355275,13,40," "," "," "," "," "," "," "," "," "," ",22,8,1,18,3," "," "," "," "," ",2,1,5,1," "
22,2,4,2,2,3," "," ",8," "," ",8,2021,22,ARBC,3,2,2,SUN,3,1,13,5,299479,355275,13,40," "," "," "," "," "," "," "," "," "," ",22,15,1,7,3," "," "," "," "," ",2,1,4,1," "
22,2,4,2,2,3," "," ",8," "," ",8,2021,22,ARBC,3,2,2,SUN,3,1,13,5,299479,355275,13,40," "," "," "," "," "," "," "," "," "," ",22,8,1,18,3," "," "," "," "," ",2,1,5,1," "
23,1,3,2,4,3," "," ",8," "," ",8,2021,23,DCST,3,2,2,SUN,3,1,13,30,243569,416247,13,30," "," "," "," "," "," "," "," "," "," ",23,8,1,5,3," "," "," "," "," ",2,3,9,2," "
23,1,3,2,4,3," "," ",8," "," ",8,2021,23,DCST,3,2,2,SUN,3,1,13,30,243569,416247,13,30," "," "," "," "," "," "," "," "," "," ",23,8,1,10,3," "," "," "," "," ",3,3,9,1," "
23,2,4,2,6,3," "," ",8," "," ",8,2021,23,DCST,3,2,2,SUN,3,1,13,30,243569,416247,13,30," "," "," "," "," "," "," "," "," "," ",23,8,1,5,3," "," "," "," "," ",2,3,9,2," "
23,2,4,2,6,3," "," ",8," "," ",8,2021,23,DCST,3,2,2,SUN,3,1,13,30,243569,416247,13,30," "," "," "," "," "," "," "," "," "," ",23,8,1,10,3," "," "," "," "," ",3,3,9,1," "
24,1,1,2,5,3," "," ",8," "," ",8,2021,24,CCGL,3,1,1,SUN,3,1,10,30,296334,426067,1,60," "," "," "," "," "," "," "," "," "," ",24,8,1,18,3," "," "," "," "," ",2,2,5,1," "
25,1,5,2,3,1,7,10,8,1,2," ",2021,25,BELC,1,1,1,SUN,3,1,21,2,330074,373637,13,30,1,1,1,11,4,1,2,1,1,1,25,8,1,18,3,1,1,1,2,1,2,1,5,2,1
26,1,3,1,7,3," "," ",8," "," ",8,2021,26,ARBC,3,3,1,MON,4,1,10,30,281144,339474,13,60," "," "," "," "," "," "," "," "," "," ",26,8,1,19,3," "," "," "," "," ",3,1,7,1," "
26,1,3,1,7,3," "," ",8," "," ",8,2021,26,ARBC,3,3,1,MON,4,1,10,30,281144,339474,13,60," "," "," "," "," "," "," "," "," "," ",26,8,1,5,3," "," "," "," "," ",4,1,5,1," "
26,1,3,1,7,3," "," ",8," "," ",8,2021,26,ARBC,3,3,1,MON,4,1,10,30,281144,339474,13,60," "," "," "," "," "," "," "," "," "," ",26,15,1,9,3," "," "," "," "," ",1,3,9,3," "
27,1,1,1,6,3," "," ",8," "," ",8,2021,27,BELC,3,2,2,MON,4,1,11,30,332229,373096,13,30," "," "," "," "," "," "," "," "," "," ",27,8,1,18,3," "," "," "," "," ",2,2,4,1," "
27,1,1,1,6,3," "," ",8," "," ",8,2021,27,BELC,3,2,2,MON,4,1,11,30,332229,373096,13,30," "," "," "," "," "," "," "," "," "," ",27,8,1,18,2," "," "," "," "," ",4,1,6,1," "
27,2,1,2,4,3," "," ",8," "," ",8,2021,27,BELC,3,2,2,MON,4,1,11,30,332229,373096,13,30," "," "," "," "," "," "," "," "," "," ",27,8,1,18,3," "," "," "," "," ",2,2,4,1," "
27,2,1,2,4,3," "," ",8," "," ",8,2021,27,BELC,3,2,2,MON,4,1,11,30,332229,373096,13,30," "," "," "," "," "," "," "," "," "," ",27,8,1,18,2," "," "," "," "," ",4,1,6,1," "
28,1,1,1,8,2,1,1,8,1," ",15,2021,28,ANTN,2,2,1,MON,4,1,13,0,312872,393710,11,70,12,7,1,1,1,1,1,1,1,1,28,24,2,18,3,2,1,1,1,1,2,1,6,1,1
28,1,1,1,8,2,1,1,8,1," ",15,2021,28,ANTN,2,2,1,MON,4,1,13,0,312872,393710,11,70,12,7,1,1,1,1,1,1,1,1,28,15,1,19,3,2,1,1,2,5,4,1,8,1,1
29,1,1,2,4,3," "," ",8," "," ",8,2021,29,DCST,3,2,1,MON,4,1,17,0,245314,415982,13,30," "," "," "," "," "," "," "," "," "," ",29,15,1,7,3," "," "," "," "," ",2,1,5,1," "
29,1,1,2,4,3," "," ",8," "," ",8,2021,29,DCST,3,2,1,MON,4,1,17,0,245314,415982,13,30," "," "," "," "," "," "," "," "," "," ",29,8,1,3,3," "," "," "," "," ",3,2,4,1," "
30,1,2,1,2,2,1,1,8,1,2,23,2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1,30,8,1,18,3,3,1,1,1,1,2,2,3,1,1
30,1,2,1,2,2,1,1,8,1,2,23,2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1,30,23,1,18,12,3,1,1,1,1,2,1,3,1,1
30,1,2,1,2,2,1,1,8,1,2,23,2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1,30,8,1,9,3,3,1,1,1,1,5,1,6,1,1
30,2,6,1,3,2,1,1,8,1," ",23,2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1,30,8,1,18,3,3,1,1,1,1,2,2,3,1,1
30,2,6,1,3,2,1,1,8,1," ",23,2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1,30,23,1,18,12,3,1,1,1,1,2,1,3,1,1
30,2,6,1,3,2,1,1,8,1," ",23,2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1,30,8,1,9,3,3,1,1,1,1,5,1,6,1,1
31,1,3,2,4,3," "," ",8," "," ",8,2021,31,BELC,3,2,1,MON,4,1,21,0,334397,373905,13,30," "," "," "," "," "," "," "," "," "," ",31,8,1,18,3," "," "," "," "," ",2,1,4,1," "
31,1,3,2,4,3," "," ",8," "," ",8,2021,31,BELC,3,2,1,MON,4,1,21,0,334397,373905,13,30," "," "," "," "," "," "," "," "," "," ",31,8,1,18,3," "," "," "," "," ",2,1,5,1," "
32,1,1,1,4,3," "," ",8," "," ",8,2021,32,MIDU,3,1,1,TUE,5,1,2,46,287414,368738,13,60," "," "," "," "," "," "," "," "," "," ",32,8,1,19,4," "," "," "," "," ",2,1,4,1," "
33,1,1,1,7,3," "," ",8," "," ",8,2021,33,MEAN,3,2,2,TUE,5,1,6,16,314975,395178,13,60," "," "," "," "," "," "," "," "," "," ",33,8,1,18,3," "," "," "," "," ",2,1,4,1," "
33,1,1,1,7,3," "," ",8," "," ",8,2021,33,MEAN,3,2,2,TUE,5,1,6,16,314975,395178,13,60," "," "," "," "," "," "," "," "," "," ",33,8,1,18,3," "," "," "," "," ",2,1,7,1," "
33,2,1,1,4,3," "," ",8," "," ",8,2021,33,MEAN,3,2,2,TUE,5,1,6,16,314975,395178,13,60," "," "," "," "," "," "," "," "," "," ",33,8,1,18,3," "," "," "," "," ",2,1,4,1," "
33,2,1,1,4,3," "," ",8," "," ",8,2021,33,MEAN,3,2,2,TUE,5,1,6,16,314975,395178,13,60," "," "," "," "," "," "," "," "," "," ",33,8,1,18,3," "," "," "," "," ",2,1,7,1," "
34,1,1,1,3,3," "," ",8," "," ",8,2021,34,ARBC,3,3,1,TUE,5,1,6,26,286969,346165,13,60," "," "," "," "," "," "," "," "," "," ",34,15,1,18,3," "," "," "," "," ",3,1,6,1," "
34,1,1,1,3,3," "," ",8," "," ",8,2021,34,ARBC,3,3,1,TUE,5,1,6,26,286969,346165,13,60," "," "," "," "," "," "," "," "," "," ",34,8,1,18,3," "," "," "," "," ",3,1,3,1," "
34,1,1,1,3,3," "," ",8," "," ",8,2021,34,ARBC,3,3,1,TUE,5,1,6,26,286969,346165,13,60," "," "," "," "," "," "," "," "," "," ",34,8,1,19,3," "," "," "," "," ",2,3,9,2," "
35,1,1,2,3,3," "," ",8," "," ",8,2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50," "," "," "," "," "," "," "," "," "," ",35,8,1,18,3," "," "," "," "," ",2,1,7,1," "
35,1,1,2,3,3," "," ",8," "," ",8,2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50," "," "," "," "," "," "," "," "," "," ",35,8,1,18,3," "," "," "," "," ",2,2,4,1," "
35,1,1,2,3,3," "," ",8," "," ",8,2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50," "," "," "," "," "," "," "," "," "," ",35,8,1,17,3," "," "," "," "," ",2,2,3,1," "
35,2,1,2,4,3," "," ",8," "," ",8,2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50," "," "," "," "," "," "," "," "," "," ",35,8,1,18,3," "," "," "," "," ",2,1,7,1," "
35,2,1,2,4,3," "," ",8," "," ",8,2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50," "," "," "," "," "," "," "," "," "," ",35,8,1,18,3," "," "," "," "," ",2,2,4,1," "
35,2,1,2,4,3," "," ",8," "," ",8,2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50," "," "," "," "," "," "," "," "," "," ",35,8,1,17,3," "," "," "," "," ",2,2,3,1," "
36,1,1,2,8,1,1,1,8,1," ",8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,1,4,1,1
36,1,1,2,8,1,1,1,8,1," ",8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,2,8,1,1
36,2,1,1,4,2,1,1,8,1," ",8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,1,4,1,1
36,2,1,1,4,2,1,1,8,1," ",8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,2,8,1,1
36,3,3,2,4,2,1,1,8,1," ",8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,1,4,1,1
36,3,3,2,4,2,1,1,8,1," ",8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,2,8,1,1
36,4,4,2,1,3,1,1,8,1,2,8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,1,4,1,1
36,4,4,2,1,3,1,1,8,1,2,8,2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1,36,8,1,18,3,1,1,1,1,1,2,2,8,1,1
37,1,1,1,5,3," "," ",8," "," ",8,2021,37,MEAN,3,2,1,TUE,5,1,15,17,342384,388141,13,30," "," "," "," "," "," "," "," "," "," ",37,8,1,18,3," "," "," "," "," ",2,1,8,1," "
37,1,1,1,5,3," "," ",8," "," ",8,2021,37,MEAN,3,2,1,TUE,5,1,15,17,342384,388141,13,30," "," "," "," "," "," "," "," "," "," ",37,8,1,18,3," "," "," "," "," ",3,1,5,1," "
38,1,1,2,6,3," "," ",8," "," ",8,2021,38,DCST,3,2,1,TUE,5,1,16,10,250885,420756,13,70," "," "," "," "," "," "," "," "," "," ",38,15,1,12,3," "," "," "," "," ",2,1,5,1," "
38,1,1,2,6,3," "," ",8," "," ",8,2021,38,DCST,3,2,1,TUE,5,1,16,10,250885,420756,13,70," "," "," "," "," "," "," "," "," "," ",38,8,1,4,3," "," "," "," "," ",3,2,6,1," "
39,1,5,1,6,3," "," ",8," "," "," ",2021,39,ARBC,3,1,1,TUE,5,1,16,0,301090,352956,13,30," "," "," "," "," "," "," "," "," "," ",39,8,1,14,3," "," "," "," "," ",5,3,9,1," "
40,1,7,2,5,3," "," ",8," "," ",1,2021,40,ANTN,3,2,1,TUE,5,1,17,0,335875,382829,13,30," "," "," "," "," "," "," "," "," "," ",40,1,1,10,3," "," "," "," "," ",2,2,5,1," "
40,1,7,2,5,3," "," ",8," "," ",1,2021,40,ANTN,3,2,1,TUE,5,1,17,0,335875,382829,13,30," "," "," "," "," "," "," "," "," "," ",40,8,1,9,3," "," "," "," "," ",4,1,6,1," "
41,1,5,1,8,3," "," ",8," "," "," ",2021,41,BELC,3,1,1,TUE,5,1,17,15,333530,374133,13,30," "," "," "," "," "," "," "," "," "," ",41,20,1,4,3," "," "," "," "," ",2,1,5,1," "
42,1,1,1,4,3," "," ",8," "," ",8,2021,42,BELC,3,2,1,TUE,5,1,19,16,332881,373511,11,50," "," "," "," "," "," "," "," "," "," ",42,8,1,16,3," "," "," "," "," ",5,1,4,1," "
42,1,1,1,4,3," "," ",8," "," ",8,2021,42,BELC,3,2,1,TUE,5,1,19,16,332881,373511,11,50," "," "," "," "," "," "," "," "," "," ",42,8,1,16,3," "," "," "," "," ",2,1,4,1," "
43,1,1,1,3,3," "," ",8," "," ",8,2021,43,ARBC,3,2,2,TUE,5,1,21,0,287379,346000,1,30," "," "," "," "," "," "," "," "," "," ",43,8,1,18,3," "," "," "," "," ",2,1,6,1," "
43,1,1,1,3,3," "," ",8," "," ",8,2021,43,ARBC,3,2,2,TUE,5,1,21,0,287379,346000,1,30," "," "," "," "," "," "," "," "," "," ",43,8,1,18,3," "," "," "," "," ",2,1,3,1," "
43,2,1,1,6,3," "," ",8," "," ",8,2021,43,ARBC,3,2,2,TUE,5,1,21,0,287379,346000,1,30," "," "," "," "," "," "," "," "," "," ",43,8,1,18,3," "," "," "," "," ",2,1,6,1," "
43,2,1,1,6,3," "," ",8," "," ",8,2021,43,ARBC,3,2,2,TUE,5,1,21,0,287379,346000,1,30," "," "," "," "," "," "," "," "," "," ",43,8,1,18,3," "," "," "," "," ",2,1,3,1," "
44,1,1,1,5,3," "," ",8," "," ",15,2021,44,ARBC,3,2,1,WED,6,1,7,45,310896,364330,13,60," "," "," "," "," "," "," "," "," "," ",44,8,1,16,3," "," "," "," "," ",4,1,4,1," "
44,1,1,1,5,3," "," ",8," "," ",15,2021,44,ARBC,3,2,1,WED,6,1,7,45,310896,364330,13,60," "," "," "," "," "," "," "," "," "," ",44,15,1,17,3," "," "," "," "," ",4,1,5,1," "
45,1,5,1,1,2,5,3,8,1,2," ",2021,45,BELC,2,1,1,WED,6,1,11,34,331273,377618,13,30,12,7,1,9,1,1,1,1,1,1,45,15,1,19,3,4,1,1,1,1,5,1,6,1,1
46,1,1,2,7,3," "," ",8," "," ",8,2021,46,BELC,3,1,2,WED,6,1,13,0,336720,373077,13,30," "," "," "," "," "," "," "," "," "," ",46,8,1,9,3," "," "," "," "," ",2,2,7,1," "
46,2,3,2,2,3," "," ",8," "," ",8,2021,46,BELC,3,1,2,WED,6,1,13,0,336720,373077,13,30," "," "," "," "," "," "," "," "," "," ",46,8,1,9,3," "," "," "," "," ",2,2,7,1," "
47,1,1,2,5,3," "," ",8," "," ",8,2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30," "," "," "," "," "," "," "," "," "," ",47,8,1,5,8," "," "," "," "," ",4,1,6,1," "
47,1,1,2,5,3," "," ",8," "," ",8,2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30," "," "," "," "," "," "," "," "," "," ",47,8,1,18,3," "," "," "," "," ",5,2,5,1," "
47,2,3,2,2,3," "," ",8," "," ",8,2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30," "," "," "," "," "," "," "," "," "," ",47,8,1,5,8," "," "," "," "," ",4,1,6,1," "
47,2,3,2,2,3," "," ",8," "," ",8,2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30," "," "," "," "," "," "," "," "," "," ",47,8,1,18,3," "," "," "," "," ",5,2,5,1," "
47,3,1,1,6,3," "," ",8," "," ",8,2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30," "," "," "," "," "," "," "," "," "," ",47,8,1,5,8," "," "," "," "," ",4,1,6,1," "
47,3,1,1,6,3," "," ",8," "," ",8,2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30," "," "," "," "," "," "," "," "," "," ",47,8,1,18,3," "," "," "," "," ",5,2,5,1," "
48,1,1,1,8,3," "," ",8," "," ",8,2021,48,DCST,3,2,2,WED,6,1,13,20,234866,398794,13,30," "," "," "," "," "," "," "," "," "," ",48,8,1,18,3," "," "," "," "," ",2,1,3,1," "
48,1,1,1,8,3," "," ",8," "," ",8,2021,48,DCST,3,2,2,WED,6,1,13,20,234866,398794,13,30," "," "," "," "," "," "," "," "," "," ",48,8,1,2,3," "," "," "," "," ",3,1,8,1," "
48,2,1,1,3,3," "," ",8," "," ",8,2021,48,DCST,3,2,2,WED,6,1,13,20,234866,398794,13,30," "," "," "," "," "," "," "," "," "," ",48,8,1,18,3," "," "," "," "," ",2,1,3,1," "
48,2,1,1,3,3," "," ",8," "," ",8,2021,48,DCST,3,2,2,WED,6,1,13,20,234866,398794,13,30," "," "," "," "," "," "," "," "," "," ",48,8,1,2,3," "," "," "," "," ",3,1,8,1," "
49,1,1,2,5,3," "," ",8," "," ",8,2021,49,ANTN,3,4,1,WED,6,1,13,48,308094,390455,13,30," "," "," "," "," "," "," "," "," "," ",49,8,1,18,3," "," "," "," "," ",2,2,5,1," "
49,1,1,2,5,3," "," ",8," "," ",8,2021,49,ANTN,3,4,1,WED,6,1,13,48,308094,390455,13,30," "," "," "," "," "," "," "," "," "," ",49,15,1,2,3," "," "," "," "," ",2,3,9,1," "
49,1,1,2,5,3," "," ",8," "," ",8,2021,49,ANTN,3,4,1,WED,6,1,13,48,308094,390455,13,30," "," "," "," "," "," "," "," "," "," ",49,8,1,2,3," "," "," "," "," ",3,3,9,1," "
49,1,1,2,5,3," "," ",8," "," ",8,2021,49,ANTN,3,4,1,WED,6,1,13,48,308094,390455,13,30," "," "," "," "," "," "," "," "," "," ",49,8,1,18,3," "," "," "," "," ",2,2,4,2," "
